Wavelength_Angs Flux(erg/s/cm2/A)
3.748590498074106108e+03 9.900299832224845886e-03
3.749453742315020463e+03 9.496700018644332886e-03
3.750317185348148541e+03 9.588900022208690643e-03
3.751180827219277944e+03 9.996700100600719452e-03
3.752044667974189451e+03 1.037739962339401245e-02
3.752908707658691128e+03 1.092190016061067581e-02
3.753772946318589675e+03 1.166140008717775345e-02
3.754637383999701797e+03 1.248210016638040543e-02
3.755502020747867391e+03 1.318479981273412704e-02
3.756366856608920898e+03 1.358130015432834625e-02
3.757231891628722224e+03 1.344109978526830673e-02
3.758097125853127181e+03 1.298389956355094910e-02
3.758962559328017505e+03 1.269099954515695572e-02
3.759828192099269927e+03 1.284909993410110474e-02
3.760694024212787099e+03 1.314019970595836639e-02
3.761560055714466216e+03 1.339470036327838898e-02
3.762426286650231759e+03 1.359479967504739761e-02
3.763292717066002751e+03 1.353999972343444824e-02
3.764159347007723682e+03 1.342689990997314453e-02
3.765026176521334946e+03 1.317910011857748032e-02
3.765893205652802862e+03 1.290030032396316528e-02
3.766760434448088290e+03 1.227969955652952194e-02
3.767627862953178919e+03 1.156200002878904343e-02
3.768495491214056983e+03 1.101179979741573334e-02
3.769363319276731090e+03 1.072140038013458252e-02
3.770231347187208485e+03 1.064950041472911835e-02
3.771099574991507779e+03 1.064489968121051788e-02
3.771968002735668506e+03 1.069360040128231049e-02
3.772836630465727012e+03 1.093150023370981216e-02
3.773705458227743748e+03 1.134870015084743500e-02
3.774574486067776434e+03 1.186269987374544144e-02
3.775443714031906893e+03 1.237550005316734314e-02
3.776313142166213311e+03 1.294710021466016769e-02
3.777182770516799792e+03 1.346080005168914795e-02
3.778052599129764985e+03 1.394900027662515640e-02
3.778922628051234369e+03 1.444249972701072693e-02
3.779792857327328420e+03 1.485900022089481354e-02
3.780663287004193080e+03 1.525089982897043228e-02
3.781533917127970199e+03 1.554240006953477859e-02
3.782404747744827546e+03 1.565040089190006256e-02
3.783275778900927435e+03 1.568279974162578583e-02
3.784147010642459009e+03 1.586519926786422729e-02
3.785018443015606863e+03 1.586190052330493927e-02
3.785890076066580605e+03 1.559020020067691803e-02
3.786761909841585748e+03 1.512129977345466614e-02
3.787633944386854182e+03 1.467769965529441833e-02
3.788506179748615523e+03 1.447829976677894592e-02
3.789378615973111664e+03 1.430189982056617737e-02
3.790251253106605418e+03 1.413180027157068253e-02
3.791124091195356414e+03 1.392969954758882523e-02
3.791997130285648382e+03 1.370960008352994919e-02
3.792870370423761415e+03 1.334070041775703430e-02
3.793743811656001981e+03 1.268899999558925629e-02
3.794617454028671091e+03 1.194989960640668869e-02
3.795491297588095676e+03 1.126740034669637680e-02
3.796365342380599031e+03 1.078130025416612625e-02
3.797239588452529460e+03 1.060659997165203094e-02
3.798114035850230721e+03 1.063309982419013977e-02
3.798988684620072945e+03 1.044609956443309784e-02
3.799863534808421718e+03 1.038409955799579620e-02
3.800738586461668092e+03 1.077970024198293686e-02
3.801613839626199024e+03 1.156929973512887955e-02
3.802489294348426483e+03 1.244269963353872299e-02
3.803364950674759712e+03 1.330669969320297241e-02
3.804240808651631596e+03 1.396629959344863892e-02
3.805116868325472296e+03 1.436250004917383194e-02
3.805993129742736983e+03 1.444439962506294250e-02
3.806869592949880825e+03 1.449260022491216660e-02
3.807746257993368090e+03 1.470780000090599060e-02
3.808623124919687598e+03 1.515259966254234314e-02
3.809500193775321350e+03 1.568179950118064880e-02
3.810377464606778631e+03 1.617939956486225128e-02
3.811254937460563724e+03 1.645380072295665741e-02
3.812132612383206833e+03 1.633780077099800110e-02
3.813010489421234070e+03 1.595750078558921814e-02
3.813888568621197464e+03 1.554910000413656235e-02
3.814766850029643592e+03 1.523720007389783859e-02
3.815645333693146313e+03 1.509130001068115234e-02
3.816524019658273573e+03 1.515140011906623840e-02
3.817402907971620607e+03 1.546899974346160889e-02
3.818281998679777189e+03 1.576990075409412384e-02
3.819161291829359925e+03 1.554770022630691528e-02
3.820040787466979964e+03 1.504779979586601257e-02
3.820920485639274830e+03 1.465469971299171448e-02
3.821800386392877954e+03 1.472140010446310043e-02
3.822680489774448233e+03 1.515579968690872192e-02
3.823560795830644111e+03 1.525880023837089539e-02
3.824441304608134942e+03 1.494629960507154465e-02
3.825322016153611457e+03 1.436800044029951096e-02
3.826202930513760748e+03 1.392379961907863617e-02
3.827084047735295826e+03 1.364209968596696854e-02
3.827965367864924247e+03 1.341649983078241348e-02
3.828846890949381304e+03 1.320379972457885742e-02
3.829728617035396383e+03 1.294500008225440979e-02
3.830610546169725694e+03 1.263410039246082306e-02
3.831492678399119541e+03 1.202290039509534836e-02
3.832375013770356418e+03 1.120170019567012787e-02
3.833257552330208910e+03 1.045740023255348206e-02
3.834140294125475521e+03 1.017269957810640335e-02
3.835023239202951117e+03 1.060310006141662598e-02
3.835906387609456488e+03 1.116140000522136688e-02
3.836789739391806961e+03 1.101830042898654938e-02
3.837673294596844698e+03 1.049329992383718491e-02
3.838557053271407312e+03 1.031539961695671082e-02
3.839441015462358791e+03 1.060479972511529922e-02
3.840325181216562214e+03 1.126830000430345535e-02
3.841209550580890209e+03 1.201010029762983322e-02
3.842094123602239961e+03 1.288229972124099731e-02
3.842978900327502288e+03 1.368129998445510864e-02
3.843863880803595293e+03 1.430059969425201416e-02
3.844749065077431624e+03 1.471029967069625854e-02
3.845634453195950755e+03 1.499320007860660553e-02
3.846520045206087161e+03 1.525340043008327484e-02
3.847405841154802147e+03 1.558300014585256577e-02
3.848291841089051559e+03 1.581889949738979340e-02
3.849178045055818529e+03 1.590549945831298828e-02
3.850064453102080279e+03 1.584249921143054962e-02
3.850951065274841312e+03 1.588170044124126434e-02
3.851837881621101133e+03 1.618969999253749847e-02
3.852724902187885618e+03 1.651580072939395905e-02
3.853612127022216100e+03 1.664270088076591492e-02
3.854499556171139830e+03 1.661109924316406250e-02
3.855387189681699510e+03 1.641760021448135376e-02
3.856275027600964677e+03 1.624619960784912109e-02
3.857163069975999861e+03 1.628220081329345703e-02
3.858051316853895514e+03 1.629989966750144958e-02
3.858939768281742090e+03 1.617549918591976166e-02
3.859828424306640045e+03 1.593999937176704407e-02
3.860717284975713483e+03 1.598029956221580505e-02
3.861606350336080595e+03 1.636710017919540405e-02
3.862495620434886405e+03 1.682420074939727783e-02
3.863385095319271841e+03 1.708240061998367310e-02
3.864274775036403298e+03 1.708820089697837830e-02
3.865164659633443080e+03 1.703899912536144257e-02
3.866054749157579863e+03 1.698200032114982605e-02
3.866945043655997324e+03 1.728430017828941345e-02
3.867835543175905514e+03 1.848679967224597931e-02
3.868726247764510390e+03 2.013850025832653046e-02
3.869617157469043832e+03 2.061340026557445526e-02
3.870508272336733626e+03 1.936490088701248169e-02
3.871399592414833023e+03 1.744280010461807251e-02
3.872291117750591184e+03 1.610220037400722504e-02
3.873182848391283642e+03 1.557410042732954025e-02
3.874074784384181385e+03 1.555780041962862015e-02
3.874966925776581775e+03 1.589040085673332214e-02
3.875859272615777172e+03 1.610670052468776703e-02
3.876751824949087222e+03 1.587029919028282166e-02
3.877644582823830206e+03 1.533840037882328033e-02
3.878537546287334408e+03 1.483289990574121475e-02
3.879430715386952670e+03 1.458899956196546555e-02
3.880324090170031923e+03 1.464890036731958389e-02
3.881217670683945471e+03 1.463009975850582123e-02
3.882111456976062072e+03 1.423390023410320282e-02
3.883005449093777770e+03 1.369270030409097672e-02
3.883899647084482694e+03 1.326160039752721786e-02
3.884794050995594716e+03 1.280589960515499115e-02
3.885688660874526249e+03 1.202430017292499542e-02
3.886583476768716082e+03 1.129559986293315887e-02
3.887478498725598911e+03 1.154300011694431305e-02
3.888373726792635352e+03 1.310859993100166321e-02
3.889269161017282386e+03 1.464689988642930984e-02
3.890164801447022001e+03 1.436689961701631546e-02
3.891060648129333003e+03 1.268650032579898834e-02
3.891956701111719667e+03 1.150839962065219879e-02
3.892852960441682171e+03 1.157569978386163712e-02
3.893749426166747071e+03 1.208760030567646027e-02
3.894646098334440012e+03 1.251200027763843536e-02
3.895542976992298009e+03 1.289859972894191742e-02
3.896440062187880358e+03 1.335230004042387009e-02
3.897337353968741354e+03 1.388000044971704483e-02
3.898234852382463032e+03 1.423889957368373871e-02
3.899132557476621514e+03 1.439459994435310364e-02
3.900030469298820663e+03 1.453780010342597961e-02
3.900928587896657973e+03 1.484300009906291962e-02
3.901826913317759590e+03 1.523999962955713272e-02
3.902725445609745748e+03 1.547089964151382446e-02
3.903624184820263054e+03 1.557699963450431824e-02
3.904523130996954023e+03 1.553300023078918457e-02
3.905422284187488458e+03 1.541369967162609100e-02
3.906321644439529791e+03 1.533770002424716949e-02
3.907221211800769652e+03 1.553270034492015839e-02
3.908120986318894211e+03 1.596619933843612671e-02
3.909020968041616015e+03 1.641329936683177948e-02
3.909921157016643974e+03 1.670660078525543213e-02
3.910821553291712462e+03 1.678749918937683105e-02
3.911722156914552215e+03 1.688360050320625305e-02
3.912622967932919892e+03 1.685939915478229523e-02
3.913523986394571239e+03 1.666329987347126007e-02
3.914425212347274282e+03 1.654409989714622498e-02
3.915326645838818422e+03 1.650189980864524841e-02
3.916228286916989418e+03 1.649549975991249084e-02
3.917130135629598499e+03 1.646949909627437592e-02
3.918032192024452797e+03 1.640290021896362305e-02
3.918934456149387188e+03 1.630220003426074982e-02
3.919836928052230178e+03 1.613680087029933929e-02
3.920739607780838469e+03 1.599569991230964661e-02
3.921642495383062396e+03 1.602810062468051910e-02
3.922545590906780944e+03 1.615089923143386841e-02
3.923448894399866731e+03 1.633219979703426361e-02
3.924352405910220568e+03 1.646430045366287231e-02
3.925256125485736902e+03 1.642379909753799438e-02
3.926160053174338827e+03 1.612539961934089661e-02
3.927064189023943527e+03 1.573359966278076172e-02
3.927968533082495014e+03 1.531499996781349182e-02
3.928873085397932755e+03 1.484789978712797165e-02
3.929777846018223045e+03 1.438270043581724167e-02
3.930682814991328087e+03 1.371300034224987030e-02
3.931587992365235550e+03 1.281320024281740189e-02
3.932493378187934013e+03 1.177250035107135773e-02
3.933398972507420694e+03 1.079980004578828812e-02
3.934304775371718733e+03 1.031369995325803757e-02
3.935210786828843993e+03 1.078190002590417862e-02
3.936117006926840531e+03 1.183910015970468521e-02
3.937023435713747403e+03 1.300009991973638535e-02
3.937930073237630040e+03 1.399530004709959030e-02
3.938836919546549780e+03 1.469410024583339691e-02
3.939743974688594790e+03 1.527339965105056763e-02
3.940651238711848237e+03 1.568119972944259644e-02
3.941558711664420116e+03 1.586990058422088623e-02
3.942466393594415422e+03 1.586480066180229187e-02
3.943374284549967342e+03 1.577679999172687531e-02
3.944282384579202244e+03 1.572689972817897797e-02
3.945190693730276053e+03 1.579909957945346832e-02
3.946099212051336963e+03 1.607869938015937805e-02
3.947007939590562728e+03 1.626989990472793579e-02
3.947916876396124735e+03 1.619759947061538696e-02
3.948826022516222110e+03 1.597739942371845245e-02
3.949735377999052162e+03 1.588989980518817902e-02
3.950644942892824929e+03 1.598720066249370575e-02
3.951554717245772281e+03 1.600619964301586151e-02
3.952464701106121083e+03 1.587489992380142212e-02
3.953374894522126397e+03 1.577500067651271820e-02
3.954285297542037370e+03 1.579250022768974304e-02
3.955195910214130890e+03 1.576690003275871277e-02
3.956106732586678390e+03 1.555090025067329407e-02
3.957017764707979040e+03 1.523500028997659683e-02
3.957929006626326554e+03 1.509539969265460968e-02
3.958840458390042386e+03 1.515599992126226425e-02
3.959752120047442077e+03 1.516390033066272736e-02
3.960663991646870272e+03 1.488179992884397507e-02
3.961576073236664342e+03 1.421890035271644592e-02
3.962488364865190306e+03 1.351950038224458694e-02
3.963400866580809179e+03 1.294289994984865189e-02
3.964313578431908354e+03 1.244589965790510178e-02
3.965226500466871130e+03 1.184360031038522720e-02
3.966139632734108091e+03 1.112169958651065826e-02
3.967052975282028001e+03 1.037309970706701279e-02
3.967966528159051450e+03 9.770300239324569702e-03
3.968880291413622672e+03 9.966899640858173370e-03
3.969794265094179536e+03 1.134200021624565125e-02
3.970708449249188561e+03 1.268929988145828247e-02
3.971622843927110807e+03 1.236820034682750702e-02
3.972537449176434620e+03 1.098699960857629776e-02
3.973452265045643344e+03 1.036289986222982407e-02
3.974367291583247606e+03 1.081169955432415009e-02
3.975282528837752579e+03 1.156490016728639603e-02
3.976197976857692538e+03 1.230879966169595718e-02
3.977113635691594482e+03 1.296480000019073486e-02
3.978029505388014059e+03 1.351470034569501877e-02
3.978945585995501460e+03 1.411230023950338364e-02
3.979861877562635073e+03 1.462060026824474335e-02
3.980778380137986915e+03 1.496460009366273880e-02
3.981695093770157655e+03 1.515089999884366989e-02
3.982612018507742050e+03 1.511660031974315643e-02
3.983529154399363051e+03 1.507010031491518021e-02
3.984446501493637697e+03 1.532140001654624939e-02
3.985364059839211222e+03 1.567880064249038696e-02
3.986281829484727496e+03 1.592390052974224091e-02
3.987199810478841755e+03 1.609029993414878845e-02
3.988118002870231976e+03 1.629690080881118774e-02
3.989036406707572496e+03 1.647010073065757751e-02
3.989955022039564028e+03 1.652030088007450104e-02
3.990873848914901828e+03 1.655090041458606720e-02
3.991792887382310255e+03 1.667319983243942261e-02
3.992712137490506848e+03 1.689770072698593140e-02
3.993631599288238249e+03 1.702909916639328003e-02
3.994551272824244734e+03 1.697430014610290527e-02
