Wavelength_Angs Flux(erg/s/cm2/A) flux_err
4.120975097656250000e+03 9.491065979003906250e+00 6.813296079635620117e-01
4.121923339843750000e+03 1.268945693969726562e+01 6.604941487312316895e-01
4.122874023437500000e+03 1.485315322875976562e+01 6.461136937141418457e-01
4.123822265625000000e+03 1.422969245910644531e+01 6.475314497947692871e-01
4.124773437500000000e+03 1.274148750305175781e+01 6.429812908172607422e-01
4.125722167968750000e+03 1.396464729309082031e+01 6.161192059516906738e-01
4.126673339843750000e+03 1.543557262420654297e+01 5.906397700309753418e-01
4.127623046875000000e+03 1.374062824249267578e+01 5.994447469711303711e-01
4.128572265625000000e+03 1.595709991455078125e+01 6.043527126312255859e-01
4.129524414062500000e+03 1.336873912811279297e+01 6.432954668998718262e-01
4.130474609375000000e+03 1.400574302673339844e+01 6.497117877006530762e-01
4.131426757812500000e+03 1.232388210296630859e+01 6.552743911743164062e-01
4.132377441406250000e+03 1.733162117004394531e+01 6.117496490478515625e-01
4.133330078125000000e+03 1.450656414031982422e+01 6.087566018104553223e-01
4.134281250000000000e+03 1.233726119995117188e+01 6.319728493690490723e-01
4.135232421875000000e+03 1.348954582214355469e+01 6.476149559020996094e-01
4.136185546875000000e+03 1.329902267456054688e+01 6.556114554405212402e-01
4.137137207031250000e+03 1.578451061248779297e+01 6.373902559280395508e-01
4.138091308593750000e+03 1.514572143554687500e+01 6.411401033401489258e-01
4.139043457031250000e+03 1.506739902496337891e+01 6.423562765121459961e-01
4.139997558593750000e+03 1.301852703094482422e+01 6.491438150405883789e-01
4.140950195312500000e+03 1.606772613525390625e+01 6.258119344711303711e-01
4.141902832031250000e+03 1.452847576141357422e+01 6.275107860565185547e-01
4.142857910156250000e+03 1.720518875122070312e+01 6.247385144233703613e-01
4.143811035156250000e+03 1.325440120697021484e+01 6.541815400123596191e-01
4.144766601562500000e+03 1.125949954986572266e+01 6.593672037124633789e-01
4.145720214843750000e+03 1.563502788543701172e+01 6.267698407173156738e-01
4.146675781250000000e+03 1.501896190643310547e+01 6.305189132690429688e-01
4.147629882812500000e+03 9.953272819519042969e+00 6.724736094474792480e-01
4.148583984375000000e+03 1.410221767425537109e+01 6.547248363494873047e-01
4.149540527343750000e+03 1.581153964996337891e+01 6.567614078521728516e-01
4.150495117187500000e+03 1.324828815460205078e+01 6.829853057861328125e-01
4.151452636718750000e+03 1.509395980834960938e+01 6.675242185592651367e-01
4.152407226562500000e+03 1.296582508087158203e+01 6.732618212699890137e-01
4.153364746093750000e+03 1.548655986785888672e+01 6.428897976875305176e-01
4.154320312500000000e+03 1.823700141906738281e+01 6.073994040489196777e-01
4.155276367187500000e+03 1.595030307769775391e+01 6.011980175971984863e-01
4.156234375000000000e+03 1.468529319763183594e+01 6.018981933593750000e-01
4.157190429687500000e+03 1.591265869140625000e+01 6.057801246643066406e-01
4.158148925781250000e+03 1.581280517578125000e+01 6.257629394531250000e-01
4.159105468750000000e+03 1.663896179199218750e+01 6.466423869132995605e-01
4.160064941406250000e+03 1.320197677612304688e+01 6.766802668571472168e-01
4.161021972656250000e+03 1.496972846984863281e+01 6.535351872444152832e-01
4.161979003906250000e+03 1.401393032073974609e+01 6.499103307723999023e-01
4.162938964843750000e+03 1.543515110015869141e+01 6.416389942169189453e-01
4.163896484375000000e+03 1.628549385070800781e+01 6.449041962623596191e-01
4.164856445312500000e+03 1.462506294250488281e+01 6.508090496063232422e-01
4.165814941406250000e+03 1.331599903106689453e+01 6.548156738281250000e-01
4.166775390625000000e+03 1.463250923156738281e+01 6.537018418312072754e-01
4.167733886718750000e+03 1.565930271148681641e+01 6.435550451278686523e-01
4.168692871093750000e+03 1.467230701446533203e+01 6.327793598175048828e-01
