Wavelength_Angs Flux(erg/s/cm2/A) flux_err
3.795770263671875000e+03 1.887269897460937500e+02 1.196772158145904541e-01
3.796645507812500000e+03 1.826162872314453125e+02 1.217030361294746399e-01
3.797519042968750000e+03 1.766028747558593750e+02 1.252523660659790039e-01
3.798394775390625000e+03 1.698946075439453125e+02 1.297782808542251587e-01
3.799268554687500000e+03 1.620133209228515625e+02 1.338504850864410400e-01
3.800142578125000000e+03 1.566785278320312500e+02 1.359335184097290039e-01
3.801018798828125000e+03 1.644063415527343750e+02 1.335628181695938110e-01
3.801893310546875000e+03 1.971303100585937500e+02 1.238118186593055725e-01
3.802770019531250000e+03 2.372541351318359375e+02 1.132657900452613831e-01
3.803644775390625000e+03 2.273599243164062500e+02 1.154097467660903931e-01
3.804521972656250000e+03 1.937887115478515625e+02 1.247136294841766357e-01
3.805397216796875000e+03 1.792790069580078125e+02 1.308875828981399536e-01
3.806272705078125000e+03 1.682008514404296875e+02 1.324080824851989746e-01
3.807150390625000000e+03 1.624170074462890625e+02 1.096038445830345154e-01
3.808026123046875000e+03 1.693851623535156250e+02 1.082433387637138367e-01
3.808904296875000000e+03 1.735693511962890625e+02 1.353666931390762329e-01
3.809780517578125000e+03 1.664860382080078125e+02 1.373106688261032104e-01
3.810658935546875000e+03 1.754258422851562500e+02 1.345480680465698242e-01
3.811535644531250000e+03 1.861127471923828125e+02 1.304723322391510010e-01
3.812412597656250000e+03 1.840057067871093750e+02 1.309414207935333252e-01
3.813291748046875000e+03 1.883429260253906250e+02 1.293095201253890991e-01
3.814168945312500000e+03 1.882432556152343750e+02 1.290046125650405884e-01
3.815048339843750000e+03 1.939355010986328125e+02 1.274916082620620728e-01
3.815926025390625000e+03 1.988650512695312500e+02 1.262806504964828491e-01
3.816805908203125000e+03 1.950523529052734375e+02 1.272402703762054443e-01
3.817684082031250000e+03 1.858777313232421875e+02 1.297933906316757202e-01
3.818562255859375000e+03 1.806160278320312500e+02 1.314409077167510986e-01
3.819442871093750000e+03 1.894284210205078125e+02 1.291017681360244751e-01
3.820321533203125000e+03 1.883311004638671875e+02 1.301891654729843140e-01
3.821202392578125000e+03 1.841327972412109375e+02 1.311375051736831665e-01
3.822081542968750000e+03 1.896137695312500000e+02 1.297766268253326416e-01
3.822962890625000000e+03 1.880718383789062500e+02 1.302393078804016113e-01
3.823842285156250000e+03 1.983090057373046875e+02 1.285481899976730347e-01
3.824724121093750000e+03 1.995834045410156250e+02 1.292825341224670410e-01
3.825604003906250000e+03 1.850823364257812500e+02 1.344678550958633423e-01
3.826484130859375000e+03 1.867096405029296875e+02 1.355506628751754761e-01
3.827366455078125000e+03 1.920149536132812500e+02 1.348991841077804565e-01
3.828246826171875000e+03 1.831431732177734375e+02 1.377217620611190796e-01
3.829129638671875000e+03 1.886586151123046875e+02 1.365204006433486938e-01
3.830010498046875000e+03 1.822848968505859375e+02 1.390283405780792236e-01
3.830893798828125000e+03 1.820218811035156250e+02 1.379936635494232178e-01
3.831775146484375000e+03 1.865785827636718750e+02 1.364691555500030518e-01
3.832656494140625000e+03 1.830066223144531250e+02 1.379301100969314575e-01
3.833540283203125000e+03 1.768750152587890625e+02 1.412113904953002930e-01
3.834422363281250000e+03 1.746018371582031250e+02 1.439514458179473877e-01
3.835306396484375000e+03 1.672710266113281250e+02 1.481613367795944214e-01
3.836188720703125000e+03 1.812456817626953125e+02 1.431005001068115234e-01
3.837073486328125000e+03 1.645274200439453125e+02 1.492536216974258423e-01
3.837956054687500000e+03 1.667423553466796875e+02 1.474029868841171265e-01
3.838839111328125000e+03 1.950274658203125000e+02 1.356213092803955078e-01
3.839724365234375000e+03 2.537306365966796875e+02 1.200318112969398499e-01
3.840607666015625000e+03 2.759562377929687500e+02 1.139323338866233826e-01
3.841493164062500000e+03 2.367078247070312500e+02 1.228699907660484314e-01
3.842376953125000000e+03 1.847470855712890625e+02 1.373621374368667603e-01
3.843262939453125000e+03 1.593925018310546875e+02 1.473441720008850098e-01
3.844147216796875000e+03 1.571712646484375000e+02 1.494870483875274658e-01
3.845031494140625000e+03 1.620857238769531250e+02 1.485579907894134521e-01
3.845918212890625000e+03 1.766653594970703125e+02 1.437533795833587646e-01
3.846802978515625000e+03 1.785663604736328125e+02 1.431692987680435181e-01
3.847689941406250000e+03 1.753179473876953125e+02 1.445495933294296265e-01
3.848575195312500000e+03 1.791627502441406250e+02 1.445924192667007446e-01
3.849462646484375000e+03 1.780610809326171875e+02 1.452071815729141235e-01
3.850348144531250000e+03 1.793567352294921875e+02 1.454536765813827515e-01
3.851233886718750000e+03 1.939223175048828125e+02 1.396680325269699097e-01
3.852122070312500000e+03 1.907605743408203125e+02 1.375948637723922729e-01
3.853008300781250000e+03 1.858072357177734375e+02 1.442823708057403564e-01
3.853896728515625000e+03 1.791857757568359375e+02 1.464733034372329712e-01
3.854783203125000000e+03 1.766686706542968750e+02 1.478035748004913330e-01
3.855672119140625000e+03 1.873564910888671875e+02 1.445374935865402222e-01
3.856559082031250000e+03 1.776691436767578125e+02 1.472025066614151001e-01
3.857446289062500000e+03 1.720259246826171875e+02 1.489775925874710083e-01
3.858335937500000000e+03 1.845660705566406250e+02 1.452445834875106812e-01
3.859223388671875000e+03 1.873164672851562500e+02 1.430795937776565552e-01
3.860113525390625000e+03 1.791499938964843750e+02 1.454342454671859741e-01
3.861001464843750000e+03 1.932975463867187500e+02 1.398245990276336670e-01
3.861891845703125000e+03 1.862913970947265625e+02 1.415371894836425781e-01
3.862780273437500000e+03 1.867471618652343750e+02 1.419670581817626953e-01
3.863668701171875000e+03 1.724046783447265625e+02 1.469409018754959106e-01
3.864559814453125000e+03 1.716217041015625000e+02 1.475125700235366821e-01
3.865448730468750000e+03 1.797097015380859375e+02 1.452181041240692139e-01
3.866340087890625000e+03 1.851855468750000000e+02 1.437774151563644409e-01
3.867229736328125000e+03 1.839761810302734375e+02 1.442864388227462769e-01
3.868121337890625000e+03 1.812210540771484375e+02 1.452466845512390137e-01
3.869011230468750000e+03 1.880600891113281250e+02 1.434768289327621460e-01
3.869901367187500000e+03 1.809113922119140625e+02 1.461275517940521240e-01
3.870793701171875000e+03 1.754327697753906250e+02 1.484146714210510254e-01
3.871684082031250000e+03 1.896641845703125000e+02 1.422173976898193359e-01
3.872576904296875000e+03 2.239228057861328125e+02 1.302939653396606445e-01
3.873467773437500000e+03 2.666992492675781250e+02 1.194558590650558472e-01
3.874361083984375000e+03 2.685096435546875000e+02 1.185984238982200623e-01
3.875252441406250000e+03 2.299374237060546875e+02 1.283867657184600830e-01
3.876143798828125000e+03 1.927125244140625000e+02 1.408521831035614014e-01
3.877037597656250000e+03 1.749636840820312500e+02 1.494175791740417480e-01
3.877929687500000000e+03 1.822867431640625000e+02 1.485121697187423706e-01
3.878823730468750000e+03 1.704092712402343750e+02 1.537407487630844116e-01
3.879716064453125000e+03 1.746356201171875000e+02 1.529722362756729126e-01
3.880610839843750000e+03 1.830204315185546875e+02 1.502094268798828125e-01
3.881503662109375000e+03 1.806959381103515625e+02 1.512731760740280151e-01
3.882396484375000000e+03 1.796197662353515625e+02 1.522006094455718994e-01
3.883291748046875000e+03 1.766443634033203125e+02 1.529718786478042603e-01
3.884185058593750000e+03 1.754665832519531250e+02 1.528420150279998779e-01
3.885080810546875000e+03 1.818618011474609375e+02 1.496253162622451782e-01
3.885974609375000000e+03 1.720400238037109375e+02 1.522563844919204712e-01
3.886870605468750000e+03 1.679782562255859375e+02 1.535699963569641113e-01
3.887764892578125000e+03 1.803060760498046875e+02 1.484322994947433472e-01
3.888659179687500000e+03 1.602242431640625000e+02 1.560299992561340332e-01
3.889555908203125000e+03 1.586923522949218750e+02 1.565969735383987427e-01
3.890450683593750000e+03 1.640457458496093750e+02 1.548695266246795654e-01
3.891347900390625000e+03 1.624565124511718750e+02 1.502557247877120972e-01
3.892242919921875000e+03 2.255756835937500000e+02 1.318862438201904297e-01
3.893140625000000000e+03 3.740511779785156250e+02 9.813334047794342041e-02
3.894036132812500000e+03 4.661285095214843750e+02 8.407603949308395386e-02
3.894934082031250000e+03 4.076507568359375000e+02 9.148635715246200562e-02
3.895830078125000000e+03 2.688303833007812500e+02 1.195839643478393555e-01
3.896726318359375000e+03 1.838993377685546875e+02 1.477991938591003418e-01
3.897625000000000000e+03 1.650742645263671875e+02 1.575871407985687256e-01
3.898521484375000000e+03 1.652792816162109375e+02 1.594858616590499878e-01
3.899420654296875000e+03 1.680902709960937500e+02 1.592448800802230835e-01
3.900317626953125000e+03 1.716551971435546875e+02 1.579800844192504883e-01
3.901217041015625000e+03 1.736581726074218750e+02 1.568523049354553223e-01
3.902114501953125000e+03 1.773807525634765625e+02 1.562446802854537964e-01
3.903012207031250000e+03 1.810683593750000000e+02 1.551772356033325195e-01
3.903912109375000000e+03 1.678359985351562500e+02 1.615002602338790894e-01
3.904810302734375000e+03 1.790650939941406250e+02 1.568816751241683960e-01
3.905710693359375000e+03 1.698156127929687500e+02 1.593125313520431519e-01
3.906609375000000000e+03 1.800741729736328125e+02 1.557595580816268921e-01
3.907510009765625000e+03 1.807758789062500000e+02 1.560960263013839722e-01
3.908408935546875000e+03 1.742343902587890625e+02 1.594804227352142334e-01
3.909308105468750000e+03 1.724685516357421875e+02 1.616510003805160522e-01
3.910209716796875000e+03 1.766592254638671875e+02 1.609004586935043335e-01
3.911109130859375000e+03 1.863972625732421875e+02 1.577978879213333130e-01
3.912010986328125000e+03 1.760836029052734375e+02 1.624716520309448242e-01
3.912911132812500000e+03 1.735175628662109375e+02 1.637496948242187500e-01
3.913813232421875000e+03 1.721778869628906250e+02 1.644984483718872070e-01
